Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2	NA	NA	NA	NA	NA	NA	NA
ASV_3	NA	NA	NA	NA	NA	NA	NA
ASV_4	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_5	NA	NA	NA	NA	NA	NA	NA
ASV_6	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_7	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_8	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_9	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_10	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_11	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_12	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_13	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_14	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_15	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_16	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_17	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_18	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_19	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_20	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_21	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_22	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_23	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema_2	NA
ASV_24	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_25	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_26	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_27	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_28	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_29	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_30	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_31	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_32	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_33	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
ASV_34	Bacteria	NA	NA	NA	NA	NA	NA
ASV_35	NA	NA	NA	NA	NA	NA	NA
ASV_36	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_37	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_38	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_39	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_40	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_41	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	NA
ASV_42	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_43	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_44	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_45	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
ASV_46	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	NA
ASV_47	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
ASV_48	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_49	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_50	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	NA
ASV_51	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_52	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-002	NA
ASV_53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	NA
ASV_54	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_55	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_56	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_57	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
ASV_58	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
ASV_59	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	NA
ASV_60	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_61	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_62	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
ASV_63	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
ASV_64	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
ASV_65	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	NA
